Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Player,Week,Tgt,Rec,RecYds,Snap,RecTD,Pred Targets,Pred Receptions,Pred Receiving Yards,Pred Snap%,Pred Tds
Curtis Samuel,5,8,6,62,90,0,Curtis Samuel,6,5,2,6,86,0,Curtis Samuel,7,8,5,53,77,0,7.0,5.0,56.0,86.0,0.0
Terry McLaurin,5,6,5,76,98,0,Terry McLaurin,6,4,3,41,98,0,Terry McLaurin,7,8,5,73,95,1,7.0,5.0,58.0,95.0,0.0
Jahan Dotson,2,5,4,59,99,1,Jahan Dotson,3,8,2,10,87,0,Jahan Dotson,4,4,3,43,59,1,7.0,5.0,62.0,90.0,0.0
Amon-Ra St. Brown,2,12,9,116,85,2,Amon-Ra St. Brown,3,9,6,73,73,0,Amon-Ra St. Brown,5,6,4,18,32,0,8.0,5.0,58.0,85.0,0.0
Josh Reynolds,4,8,7,81,84,1,Josh Reynolds,5,10,6,92,91,0,Josh Reynolds,7,2,1,8,80,0,8.0,5.0,64.0,91.0,0.0
DJ Chark,1,8,4,52,81,1,DJ Chark,2,4,0,0,66,0,DJ Chark,3,6,3,46,79,0,6.0,3.0,44.0,75.0,0.0
Ashton Dulin,2,7,5,79,64,0,Ashton Dulin,3,1,1,7,25,0,Ashton Dulin,4,3,2,18,29,0,3.0,2.0,25.0,50.0,0.0
Parris Campbell,5,3,2,22,92,0,Parris Campbell,6,11,7,57,100,1,Parris Campbell,7,12,10,70,98,1,8.0,5.0,71.0,91.0,0.0
Christian Kirk,5,3,1,11,96,0,Christian Kirk,6,5,4,24,92,1,Christian Kirk,7,10,7,96,94,0,7.0,4.0,57.0,88.0,0.0
Marvin Jones,4,1,0,0,91,0,Marvin Jones,5,11,7,104,87,0,Marvin Jones,7,8,4,57,56,0,7.0,4.0,67.0,85.0,0.0
Zay Jones,5,8,3,12,80,0,Zay Jones,6,5,5,42,98,0,Zay Jones,7,10,4,54,99,0,8.0,5.0,61.0,87.0,0.0
Scott Miller,2,8,3,34,43,0,Scott Miller,3,5,1,4,80,0,Scott Miller,5,7,4,35,46,0,6.0,4.0,46.0,67.0,0.0
Mike Evans,5,8,4,81,85,0,Mike Evans,6,4,4,42,96,0,Mike Evans,7,15,9,96,88,0,8.0,5.0,58.0,89.0,0.0
Breshad Perriman,1,3,0,0,42,0,Breshad Perriman,2,5,3,45,75,1,Breshad Perriman,3,4,3,44,72,0,5.0,3.0,40.0,64.0,0.0
Russell Gage,5,6,2,20,73,0,Russell Gage,6,4,2,20,76,0,Russell Gage,7,5,4,39,61,0,6.0,4.0,48.0,74.0,0.0
Chris Olave,4,7,4,67,68,1,Chris Olave,5,6,4,54,40,1,Chris Olave,7,14,7,106,76,0,5.0,2.0,36.0,60.0,-0.0
Michael Thomas,1,8,5,57,61,2,Michael Thomas,2,9,6,65,76,1,Michael Thomas,3,5,5,49,68,0,7.0,4.0,52.0,77.0,0.0
Jarvis Landry,2,5,4,25,68,0,Jarvis Landry,3,5,2,22,30,0,Jarvis Landry,4,2,2,7,63,0,4.0,2.0,34.0,53.0,0.0
D.J. Moore,5,8,4,59,93,0,D.J. Moore,6,7,3,7,100,0,D.J. Moore,7,10,7,69,100,1,8.0,5.0,66.0,92.0,0.0
Chosen Anderson,3,4,1,14,84,0,Chosen Anderson,4,5,3,26,96,0,Chosen Anderson,5,5,1,32,77,0,7.0,4.0,59.0,86.0,0.0
Shi Smith,4,2,0,0,75,0,Shi Smith,5,5,4,69,62,0,Shi Smith,6,2,0,0,55,0,5.0,3.0,45.0,69.0,0.0
Richie James,4,3,1,9,32,0,Richie James,5,2,2,16,54,0,Richie James,6,2,2,18,34,0,4.0,3.0,31.0,51.0,0.0
David Sills,5,2,2,12,43,0,David Sills,6,2,1,8,35,0,David Sills,7,1,1,19,31,0,3.0,2.0,26.0,46.0,0.0
Sterling Shepard,1,4,2,71,72,1,Sterling Shepard,2,10,6,34,88,0,Sterling Shepard,3,10,5,49,81,0,8.0,5.0,67.0,80.0,0.0
Nelson Agholor,2,6,6,110,50,1,Nelson Agholor,3,3,2,41,76,0,Nelson Agholor,4,4,3,46,66,0,5.0,4.0,40.0,73.0,0.0
Jakobi Meyers,5,8,7,111,80,1,Jakobi Meyers,6,4,4,60,81,0,Jakobi Meyers,7,2,2,34,100,1,7.0,4.0,49.0,85.0,0.0
Kendrick Bourne,3,5,4,58,27,0,Kendrick Bourne,4,3,2,23,45,0,Kendrick Bourne,5,1,1,1,57,0,4.0,3.0,29.0,47.0,0.0
Lil'Jordan Humphrey,2,2,1,11,38,0,Lil'Jordan Humphrey,3,1,0,0,82,0,Lil'Jordan Humphrey,4,1,1,9,53,0,5.0,3.0,37.0,66.0,0.0
DeVante Parker,4,2,2,24,97,1,DeVante Parker,6,6,4,64,79,0,DeVante Parker,7,5,3,68,92,0,6.0,4.0,54.0,86.0,0.0
Diontae Johnson,5,13,5,60,93,0,Diontae Johnson,6,7,5,28,95,0,Diontae Johnson,7,10,5,42,93,0,9.0,5.0,67.0,90.0,0.0
Chase Claypool,5,9,5,50,91,0,Chase Claypool,6,7,7,96,86,1,Chase Claypool,7,8,5,41,85,0,8.0,4.0,57.0,88.0,0.0
George Pickens,5,8,6,83,76,0,George Pickens,6,6,3,27,83,0,George Pickens,7,6,6,61,79,1,7.0,5.0,55.0,81.0,0.0
Tyreek Hill,5,7,7,47,64,0,Tyreek Hill,6,15,12,177,77,0,Tyreek Hill,7,13,7,72,89,0,8.0,6.0,68.0,78.0,1.0
Jaylen Waddle,5,4,3,23,76,0,Jaylen Waddle,6,10,6,129,79,0,Jaylen Waddle,7,5,4,88,79,0,6.0,4.0,56.0,80.0,0.0
Trent Sherfield,5,2,1,5,66,0,Trent Sherfield,6,4,1,6,67,0,Trent Sherfield,7,3,3,44,56,0,5.0,3.0,43.0,67.0,0.0
Cedrick Wilson Jr.,1,2,2,20,47,0,Cedrick Wilson Jr.,2,1,0,0,31,0,Cedrick Wilson Jr.,5,4,2,20,24,0,2.0,2.0,22.0,46.0,0.0
Rashod Bateman,3,4,2,59,62,0,Rashod Bateman,4,6,3,17,44,0,Rashod Bateman,7,5,4,42,56,0,4.0,3.0,42.0,55.0,0.0
Devin Duvernay,5,7,5,54,72,0,Devin Duvernay,6,5,1,14,68,0,Devin Duvernay,7,3,2,42,66,0,6.0,4.0,45.0,72.0,0.0
Demarcus Robinson,4,3,2,10,56,0,Demarcus Robinson,5,2,1,8,75,0,Demarcus Robinson,6,5,3,27,76,0,5.0,3.0,40.0,69.0,0.0
Drake London,5,7,4,35,67,0,Drake London,6,4,3,40,67,0,Drake London,7,1,1,9,85,0,6.0,4.0,44.0,70.0,0.0
Olamide Zaccheaus,5,4,2,39,67,1,Olamide Zaccheaus,6,4,4,58,74,0,Olamide Zaccheaus,7,4,3,31,62,0,6.0,3.0,46.0,75.0,0.0
Cooper Kupp,4,19,14,122,100,0,Cooper Kupp,5,10,7,125,98,1,Cooper Kupp,6,8,7,80,97,0,10.0,6.0,64.0,102.0,0.0
Allen Robinson,4,6,2,7,99,0,Allen Robinson,5,5,3,12,83,0,Allen Robinson,6,6,5,63,86,1,7.0,4.0,58.0,85.0,0.0
Ben Skowronek,4,3,2,33,88,0,Ben Skowronek,5,8,6,41,88,0,Ben Skowronek,6,5,5,40,68,0,8.0,5.0,65.0,84.0,0.0
